1 AED	1.0934	+0.0008;
1 AUD	2.9044	+0.0123;
1 BGN	2.3040	+0.0019;
1 BRL	1.1273	-0.0016;
1 CAD	3.0632	-0.0052;
1 CHF	4.0550	-0.0106;
1 CNY	0.6135	+0.0003;
1 CZK	0.1667	+0.0001;
1 DKK	0.6059	+0.0005;
1 EGP	0.4523	+0.0004;
1 EUR	4.5063	+0.0038;
1 GBP	5.8497	-0.0248;
1 HRK	0.6018	+0.0007;
100 HUF	1.4237	-0.0004;
1 INR	0.0596	0.0000;
100 JPY	3.6434	-0.0071;
100 KRW	0.3373	+0.0004;
1 MDL	0.2029	+0.0013;
1 MXN	0.2179	+0.0006;
1 NOK	0.4826	+0.0018;
1 NZD	2.7159	+0.0046;
1 PLN	1.0207	-0.0043;
1 RSD	0.0367	0.0000;
1 RUB	0.0603	0.0000;
1 SEK	0.4823	+0.0016;
1 TRY	1.3468	+0.0044;
1 UAH	0.1576	+0.0002;
1 USD	4.0161	+0.0035;
1 XAU	162.2412	+0.3785;
1 XDR	5.6469	+0.0003;
1 ZAR	0.2550	+0.0008
