sitc06,partner,indic_et,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
SITC3,WORLD,MIO_BAL_VAL,AT	-2.1 	-2.9 	-3.5 	-2.8 	-3.5 	-2.4 	-2.9 	-3.7 	-3.9 	-3.5 	-3.0 	-2.3 
SITC3,WORLD,MIO_BAL_VAL,BE	-2.7 	-4.3 	-4.5 	-3.6 	-5.3 	-3.2 	-3.7 	-4.6 	-5.0 	-4.5 	-3.8 	-2.8 
SITC3,WORLD,MIO_BAL_VAL,BG	0.7 	0.8 	2.3 	-7.2 	-8.0 	-5.0 	-5.8 	-6.3 	-6.9 	-6.2 	-5.6 	-3.9 
SITC3,WORLD,MIO_BAL_VAL,CY	-3.2 	-4.3 	-5.0 	-5.2 	-6.5 	-4.6 	-6.0 	-6.8 	-7.6 	-6.4 	-5.9 p	-4.3 p
SITC3,WORLD,MIO_BAL_VAL,CZ	-1.7 	-3.4 	-4.0 	-3.2 	-4.1 	-2.7 	-3.5 	-4.4 	-4.7 	-4.8 	-4.0 	-2.6 
SITC3,WORLD,MIO_BAL_VAL,DE	-1.7 	-2.4 	-2.8 	-2.4 	-3.4 	-2.5 	-2.9 	-3.5 	-3.6 	-3.4 	-2.9 	-2.0 
SITC3,WORLD,MIO_BAL_VAL,DK	1.1 	1.7 	2.0 	1.8 	1.6 	1.0 	0.9 	0.7 	0.5 	0.1 	0.0 	0.1 
SITC3,WORLD,MIO_BAL_VAL,EE	-2.4 	-2.4 	-3.5 	-3.6 	-4.1 	-2.2 	-1.5 	-0.4 	-1.3 	-2.2 	-2.1 	-1.4 
SITC3,WORLD,MIO_BAL_VAL,EL	-2.3 	-3.3 	-3.5 	-2.9 	-3.8 	-2.2 	-3.0 	-3.6 p	-4.0 p	-3.5 p	-3.2 p	-2.2 p
SITC3,WORLD,MIO_BAL_VAL,ES	-2.0 	-2.7 	-3.2 	-3.0 	-3.6 	-2.3 	-2.9 	-3.7 	-3.8 p	-3.3 p	-2.9 p	-2.0 p
SITC3,WORLD,MIO_BAL_VAL,FI	-1.8 	-2.2 	-3.0 	-2.5 	-3.3 	-2.4 	-2.8 	-3.7 	-2.6 	-2.6 	-2.4 	-1.5 
SITC3,WORLD,MIO_BAL_VAL,FR	-1.6 	-2.1 	-2.4 	-2.2 	-2.8 	-2.0 	-2.4 	-3.0 	-3.3 	-3.1 	-2.5 	-1.8 
SITC3,WORLD,MIO_BAL_VAL,HR	-2.7 	-3.5 	-3.7 	-3.9 	-5.1 	-3.5 	-3.8 	-5.4 	-5.6 	-5.1 	-4.0 	-3.5 
SITC3,WORLD,MIO_BAL_VAL,HU	-2.1 	-3.0 	-6.2 	-4.6 	-6.2 	-4.9 	-5.1 	-6.0 	-6.4 	-6.4 	-6.2 	-4.2 
SITC3,WORLD,MIO_BAL_VAL,IE	-1.5 	-1.9 	-2.0 	-2.4 	-3.1 	-2.3 	-2.8 	-3.2 	-3.0 	-3.2 	-2.8 	-1.9 
SITC3,WORLD,MIO_BAL_VAL,IT	-1.4 	-2.6 	-3.2 	-2.9 	-3.6 	-2.6 	-3.2 	-3.7 	-3.8 	-3.3 	-2.6 	-2.0 
SITC3,WORLD,MIO_BAL_VAL,LT	0.1 	-2.3 	-3.3 	-4.2 	-5.7 	-4.1 	-7.1 	-7.6 	-7.5 	-6.1 	-4.7 	-3.5 
SITC3,WORLD,MIO_BAL_VAL,LU	-3.3 	-5.6 	-5.9 	-5.4 	-6.7 	-4.2 	-4.9 	-6.0 	-6.4 	-5.4 	-4.5 	-3.0 
SITC3,WORLD,MIO_BAL_VAL,LV	-4.5 	-4.8 	-5.3 	-4.3 	-5.5 	-4.4 	-4.9 	-5.5 	-6.1 	-5.6 	-4.2 	-2.9 
SITC3,WORLD,MIO_BAL_VAL,MT	-3.0 	-4.2 	-4.5 	-1.4 	-2.3 	0.0 	1.1 	-2.8 	-12.1 	-9.2 	-15.6 	-9.8 
SITC3,WORLD,MIO_BAL_VAL,NL	-1.9 	-1.2 	-1.1 	-1.2 	-0.7 	-0.7 	-1.5 	-1.9 	-2.6 	-1.4 p	-1.6 p	-1.0 p
SITC3,WORLD,MIO_BAL_VAL,PL	-1.6 	-2.3 	-2.4 	-2.6 	-3.0 	-2.2 	-2.6 	-3.3 	-3.4 	-2.7 	-2.6 	-1.6 
SITC3,WORLD,MIO_BAL_VAL,PT	-2.7 	-3.8 	-3.8 	-3.6 	-4.6 	-2.8 	-3.4 	-4.2 	-4.7 	-3.7 	-3.5 e	-2.3 e
SITC3,WORLD,MIO_BAL_VAL,RO	-3.0 	-2.7 	-3.0 	-2.6 	-2.8 	-1.6 	-2.2 	-2.7 	-3.0 	-1.9 	-1.4 p	-0.9 p
SITC3,WORLD,MIO_BAL_VAL,SE	-1.2 	-1.6 	-1.7 	-1.6 	-1.9 	-1.2 	-1.6 	-1.8 	-1.7 	-1.5 	-1.3 	-0.9 
SITC3,WORLD,MIO_BAL_VAL,SI	-3.5 	-4.7 	-5.0 	-4.7 	-6.2 	-3.9 	-5.0 	-6.2 	-6.8 	-5.5 	-4.1 	-2.9 
SITC3,WORLD,MIO_BAL_VAL,SK	-4.0 	-5.5 	-6.3 	-4.9 	-5.9 	-4.4 	-5.7 	-6.4 	-5.9 	-5.9 	-4.3 	-3.6 
SITC3,WORLD,MIO_BAL_VAL,UK	0.1 	-0.2 	-0.4 	-0.4 	-0.7 	-0.4 	-0.4 	-1.0 	-1.2 	-1.1 	-0.8 	-0.6 
